English Term,Lemma,IPA,Russian Pronunciation,Russian Translation,POS Mode,Part of Speech (EN),Part of Speech (RU),Frequency
accompanied,accompanied,əˈkəmpənid,экмпнид,сопровождаемый,wordnet,verb,глагол,1
accompany,accompany,əˈkəmpəni,экмпни,сопровождать,wordnet,verb,глагол,2
accomplish,accomplish,əˈkɑmplɪʃ,экамплиш,выполнить,wordnet,verb,глагол,4
accomplished,accomplished,əˈkɑmplɪʃt,экамплишт,удавшийся,wordnet,verb,глагол,3
accomplishes,accomplishes,əˈkɑmplɪʃɪz,экамплишиз,совершает,wordnet,verb,глагол,3
according,according,əˈkɔrdɪŋ,экордин,согласно,wordnet,verb,глагол,39
accordingly,accordingly,əˈkɔrdɪŋli,экординли,соответственно,wordnet,adv,наречие,2
account,account,əˈkaʊnt,экаунт,счет,wordnet,noun,существительное,25
accountable,accountable,əˈkaʊntəbəl,экаунтэбл,подотчетный,wordnet,adj,прилагательное,1
accumulate,accumulate,əˈkjumjəˌleɪt,экйумйлэйт,накапливать,wordnet,verb,глагол,1
accuracy,accuracy,ˈækjərəsi,экйэрэси,точность,wordnet,noun,существительное,15
accurate,accurate,ˈækjərət,экйэрэт,точный,wordnet,adj,прилагательное,7
accurately,accurately,ˈækjərətli,экйэрэтли,точно,wordnet,adv,наречие,6
achieve,achieve,əˈʧiv,эчив,достигать,wordnet,verb,глагол,2
achieves,achieves,əˈʧivz,эчивз,достигает,wordnet,verb,глагол,1
acid,acid,ˈæsəd,эсэд,кислота,wordnet,noun,существительное,1
acknowledged,acknowledged,ækˈnɑlɪʤd,экналиджд,признанный,wordnet,verb,глагол,1
acknowledges,acknowledges,ækˈnɑlɪʤɪz,экналиджиз,признает,wordnet,verb,глагол,1
acknowledgment,acknowledgment,ækˈnɑlɪʤmənt,экналиджмнт,признание,wordnet,noun,существительное,3
acquainted,acquainted,əkˈweɪnɪd,экуэйнид,знакомый,wordnet,verb,глагол,6
acquire,acquire,əkˈwaɪər,экуайэр,приобретать,wordnet,verb,глагол,1
across,across,əˈkrɔs,экрос,через,wordnet,adv,наречие,35
action,action,ˈækʃən,экшн,действие,wordnet,noun,существительное,73
activate,activate,ˈæktəˌveɪt,эктэвэйт,активировать,wordnet,verb,глагол,6
active,active,ˈæktɪv,эктив,активный,wordnet,noun,существительное,3
activity,activity,ækˈtɪvɪti,эктивити,активность,wordnet,noun,существительное,1
actual,actual,ˈækʧəwəl,экчэул,действительный,wordnet,adj,прилагательное,29
actually,actually,ˈæˌkʧuəli,экчули,на самом деле,wordnet,adv,наречие,9
adapt,adapt,əˈdæpt,эдэпт,адаптироваться,wordnet,verb,глагол,2
add,add,æd,эд,добавлять,wordnet,noun,существительное,115
added,added,ˈædɪd,эдид,добавлен,wordnet,verb,глагол,19
adding,adding,ˈædɪŋ,эдин,добавление,wordnet,verb,глагол,25
addition,addition,əˈdɪʃən,эдишн,добавление,wordnet,noun,существительное,14
additional,additional,əˈdɪʃənəl,эдишнл,дополнительный,wordnet,adj,прилагательное,46
additionally,additionally,əˈdɪʃəˌnəli,эдишнли,кроме того,wordnet,adv,наречие,1
address,address,ˈæˌdrɛs,эдрэс,адрес,wordnet,noun,существительное,11
addressed,addressed,əˈdrɛst,эдрэст,обратился,wordnet,verb,глагол,2
addressing,addressing,æˈdrɛsɪŋ,эдрэсин,обращение,wordnet,verb,глагол,6
adequate,adequate,ˈædəkˌweɪt,эдэкуэйт,адекватный,wordnet,adj,прилагательное,1
adjective,adjective,ˈæʤɪktɪv,эджиктив,прилагательное,wordnet,noun,существительное,1
adjust,adjust,əˈʤəst,эджэст,регулировать,wordnet,verb,глагол,3
adjusted,adjusted,əˈʤəstɪd,эджэстид,скорректированный,wordnet,verb,глагол,2
admin,admin,ˈædmɪn,эдмин,администратор,wordnet,,,2
administering,administering,ædˈmɪnɪˌstərɪŋ,эдминистэрин,администрирование,wordnet,verb,глагол,1
administration,administration,ædˌmɪnɪˈstreɪʃən,эдминистрэйшн,администрация,wordnet,noun,существительное,1
adopt,adopt,əˈdɑpt,эдапт,усыновить,wordnet,verb,глагол,1
adopting,adopting,əˈdɑptɪŋ,эдаптин,принятие,wordnet,verb,глагол,1
adoption,adoption,əˈdɑpʃən,эдапшн,принятие,wordnet,noun,существительное,1
advanced,advanced,ədˈvænst,эдвэнст,передовой,wordnet,verb,глагол,9
advantage,advantage,ædˈvæntɪʤ,эдвэнтидж,преимущество,wordnet,noun,существительное,13
advent,advent,ˈædˌvɛnt,эдвэнт,появление,wordnet,noun,существительное,1
adventure,adventure,ədˈvɛnʧər,эдвэнчэр,приключение,wordnet,noun,существительное,1
advertised,advertised,ˌædvərˈtaɪzd,эдвэртайзд,рекламируется,wordnet,verb,глагол,1
advertising,advertising,ˈædvərˌtaɪzɪŋ,эдвэртайзин,реклама,wordnet,noun,существительное,1
advice,advice,ədˈvaɪs,эдвайс,совет,wordnet,noun,существительное,1
advisor,advisor,ædˈvaɪzər,эдвайзэр,советник,wordnet,noun,существительное,1
aesthetically,aesthetically,ɛsˈθɛtɪkli,эссэтикли,эстетически,wordnet,adv,наречие,1
affected,affected,əˈfɛktɪd,эфэктид,затронутый,wordnet,verb,глагол,2
affinity,affinity,əˈfɪnɪti,эфинити,близость,wordnet,noun,существительное,2
afford,afford,əˈfɔrd,эфорд,предоставлять,wordnet,verb,глагол,2
afraid,afraid,əˈfreɪd,эфрэйд,испуганный,wordnet,adj,прилагательное,1
afterward,afterward,ˈæftərwərd,эфтэруэрд,потом,wordnet,adv,наречие,1
age,age,eɪʤ,эйдж,возраст,wordnet,noun,существительное,12
aged,aged,ˈeɪʤɪd,эйджид,в возрасте,wordnet,noun,существительное,1
aggregate,aggregate,ˈægrəgət,эгрэгэт,совокупность,wordnet,noun,существительное,73
aggregated,aggregated,ˈægrəˌgeɪtəd,эгрэгэйтэд,агрегированный,wordnet,verb,глагол,3
aggregation,aggregation,ˌægrəˈgeɪʃən,эгрэгэйшн,агрегирование,wordnet,noun,существительное,20
aggressive,aggressive,əˈgrɛsɪv,эгрэсив,агрессивный,wordnet,adj,прилагательное,3
ago,ago,əˈgoʊ,эгоу,назад,wordnet,adj,прилагательное,3
agonize,agonize,ˈægəˌnaɪz,эгнайз,мучиться,wordnet,verb,глагол,1
agree,agree,əˈgri,эгри,соглашаться,wordnet,verb,глагол,1
ahead,ahead,əˈhɛd,эхэд,предстоящий,wordnet,adj,прилагательное,9
aim,aim,eɪm,эйм,цель,wordnet,noun,существительное,3
aime,aime,eɪm,эйм,прицелиться,wordnet,,,1
air,air,ɛr,эр,воздух,wordnet,noun,существительное,2
airing,airing,ˈɛrɪŋ,эрин,проветривание,wordnet,noun,существительное,1
airtime,airtime,ˈɛrˌtaɪm,эртайм,эфирное время,wordnet,,,8
aka,aka,ˈɑkə,акэ,он же,wordnet,,,1
akin,akin,ˈeɪkɪn,эйкин,сродни,wordnet,adj,прилагательное,14
albeit,albeit,ɔlˈbiɪt,олбиит,хотя,wordnet,,,1
ale,ale,eɪl,эйл,эль,wordnet,noun,существительное,9
aleksander,aleksander,ˌæləkˈsændər,элэксэндэр,Александр,wordnet,,,1
alex,alex,ˈæləks,элэкс,Алекс,wordnet,,,3
algorithm,algorithm,ˈælgərˌɪðəm,элгэризм,алгоритм,wordnet,noun,существительное,13
alias,alias,ˈeɪliəs,эйлиэс,псевдоним,wordnet,noun,существительное,192
alice,alice,ˈælɪs,элис,Алиса,wordnet,,,2
align,align,əˈlaɪn,элайн,выровнять,wordnet,verb,глагол,1
aligning,aligning,əˈlaɪnɪŋ,элайнин,выравнивание,wordnet,verb,глагол,1
alignment,alignment,əˈlaɪnmənt,элайнмнт,выравнивание,wordnet,noun,существительное,2
alive,alive,əˈlaɪv,элайв,живой,wordnet,adj,прилагательное,1
allocate,allocate,ˈæləˌkeɪt,элэкэйт,выделять,wordnet,verb,глагол,5
allocated,allocated,ˈæləˌkeɪtɪd,элэкэйтид,выделено,wordnet,verb,глагол,4
allocates,allocates,ˈæləˌkeɪts,элэкэйтс,распределяет,wordnet,verb,глагол,5
allocating,allocating,ˈæləˌkeɪtɪŋ,элэкэйтин,распределение,wordnet,verb,глагол,4
allocation,allocation,ˌæləˈkeɪʃən,элэкэйшн,распределение,wordnet,noun,существительное,2
allotted,allotted,əˈlɑtɪd,элатид,выделенный,wordnet,verb,глагол,1
allow,allow,əˈlaʊ,элау,позволять,wordnet,verb,глагол,20
allowed,allowed,əˈlaʊd,элауд,допустимый,wordnet,verb,глагол,3
allowing,allowing,əˈlaʊɪŋ,элауин,позволяя,wordnet,verb,глагол,3
allows,allows,əˈlaʊz,элауз,позволяет,wordnet,verb,глагол,25
allure,allure,əˈlʊr,элур,очарование,wordnet,noun,существительное,1
almost,almost,ˈɔlˌmoʊst,олмоуст,почти,wordnet,adv,наречие,14
along,along,əˈlɔŋ,элон,вдоль,wordnet,adv,наречие,18
alphabetical,alphabetical,ˌælfəˈbɛtɪkəl,элфэбэтикл,по алфавиту,wordnet,adj,прилагательное,1
alphabetically,alphabetically,ˌælfəˈbɛtɪkli,элфэбэтикли,по алфавиту,wordnet,adv,наречие,1
alphanumeric,alphanumeric,ˌælfənuˈmɛrɪk,элфнумэрик,буквенно-цифровой,wordnet,adj,прилагательное,1
already,already,ɔˈrɛdi,орэди,уже,wordnet,adv,наречие,57
also,also,ˈɔlsoʊ,олсоу,также,wordnet,adv,наречие,223
alt,alt,ɑlt,алт,альтернативный вариант,wordnet,noun,существительное,5
altair,altair,ɑlˈtɛr,алтэр,Альтаир,wordnet,noun,существительное,1
alternate,alternate,ˈɔltərˌneɪt,олтэрнэйт,альтернативный,wordnet,noun,существительное,4
alternating,alternating,ˈɔltərˌneɪtɪŋ,олтэрнэйтин,чередование,wordnet,verb,глагол,1
alternative,alternative,ɔlˈtərnətɪv,олтэрнэтив,альтернатива,wordnet,noun,существительное,13
alternatively,alternatively,ɔlˈtərnətɪvli,олтэрнэтивли,альтернативно,wordnet,adv,наречие,1
although,although,ˌɔlˈðoʊ,олзоу,хотя,wordnet,,,23
altogether,altogether,ˌɔltəˈgɛðər,олтэгэзэр,вообще,wordnet,noun,существительное,1
always,always,ˈɔlˌweɪz,олуэйз,всегда,wordnet,adv,наречие,37
amazing,amazing,əˈmeɪzɪŋ,эмэйзин,удивительный,wordnet,verb,глагол,2
amazingly,amazingly,əˈmeɪzɪŋli,эмэйзинли,удивительно,wordnet,adv,наречие,1
amazon,amazon,ˈæməˌzɑn,эмэзан,Амазонка,wordnet,noun,существительное,4
ambiguous,ambiguous,æmˈbɪgjuəs,эмбигйуэс,двусмысленный,wordnet,adj,прилагательное,3
ambitious,ambitious,æmˈbɪʃəs,эмбишэс,амбициозный,wordnet,adj,прилагательное,2
america,america,əˈmɛrɪkə,эмэрикэ,Америка,wordnet,noun,существительное,5
among,among,əˈməŋ,эмэн,среди,wordnet,,,1
amount,amount,əˈmaʊnt,эмаунт,количество,wordnet,noun,существительное,23
ampersand,ampersand,ˈæmpərˌsænd,эмпэрсэнд,амперсанд,wordnet,noun,существительное,1
amplitude,amplitude,ˈæmpləˌtud,эмплэтуд,амплитуда,wordnet,noun,существительное,1
ana,ana,ˈɑnə,анэ,ана,wordnet,noun,существительное,1
anaconda,anaconda,ˌænəˈkɑndə,энэкандэ,анаконда,wordnet,noun,существительное,16
analog,analog,ˈænəˌlɔg,энлог,аналоговый,wordnet,noun,существительное,2
analogy,analogy,əˈnæləʤi,энэлэджи,аналогия,wordnet,noun,существительное,9
analysis,analysis,æˈnælɪsɪs,энэлисис,анализ,wordnet,noun,существительное,67
analyst,analyst,ˈænəlɪst,энлист,аналитик,wordnet,noun,существительное,11
analytic,analytic,ˌænəˈlɪtɪk,энэлитик,аналитический,wordnet,adj,прилагательное,6
analytical,analytical,ˌænəˈlɪtɪkəl,энэлитикл,аналитический,wordnet,adj,прилагательное,20
analytics,analytics,ˌænəˈlɪtɪks,энэлитикс,аналитика,wordnet,,,6
analyze,analyze,ˈænəˌlaɪz,энлайз,анализировать,wordnet,verb,глагол,5
analyzed,analyzed,ˈænəˌlaɪzd,энлайзд,проанализировано,wordnet,verb,глагол,15
analyzing,analyzing,ˈænəˌlaɪzɪŋ,энлайзин,анализируя,wordnet,verb,глагол,25
anatoly,anatoly,ˌænəˈtoʊli,энэтоули,Анатолий,wordnet,,,1
anchor,anchor,ˈæŋkər,энкэр,якорь,wordnet,noun,существительное,6
ancillary,ancillary,ˈænsəˌlɛri,энслэри,вспомогательный,wordnet,adj,прилагательное,2
angle,angle,ˈæŋgəl,энгл,угол,wordnet,noun,существительное,2
annotated,annotated,ˌænəˈteɪtɪd,энэтэйтид,аннотированный,wordnet,verb,глагол,2
annotating,annotating,ˌænəˈteɪtɪŋ,энэтэйтин,аннотирование,wordnet,noun,существительное,1
annotation,annotation,ˌænəˈteɪʃən,энэтэйшн,аннотация,wordnet,noun,существительное,17
announce,announce,əˈnaʊns,энаунс,объявить,wordnet,verb,глагол,1
announced,announced,əˈnaʊnst,энаунст,объявлено,wordnet,verb,глагол,1
announcement,announcement,əˈnaʊnsmɛnt,энаунсмэнт,объявление,wordnet,noun,существительное,1
annoy,annoy,əˈnɔɪ,эной,раздражать,wordnet,verb,глагол,1
annoyance,annoyance,əˈnɔɪəns,энойнс,раздражение,wordnet,noun,существительное,3
annoying,annoying,əˈnɔɪɪŋ,энойин,раздражающий,wordnet,noun,существительное,5
anomaly,anomaly,əˈnɑməli,энамли,аномалия,wordnet,noun,существительное,2
anonymous,anonymous,əˈnɑnəməs,энанмэс,анонимный,wordnet,adj,прилагательное,3
another,another,əˈnəðər,энэзэр,другой,wordnet,adj,прилагательное,47
ansi,ansi,ˌænˈsi,энси,Анси,wordnet,,,4
answer,answer,ˈænsər,энсэр,отвечать,wordnet,noun,существительное,87
answered,answered,ˈænsərd,энсэрд,ответил,wordnet,verb,глагол,1
answering,answering,ˈænsərɪŋ,энсэрин,отвечая,wordnet,verb,глагол,4
anti,anti,ˈænˌti,энти,анти,wordnet,noun,существительное,13
anymore,anymore,ˌɛniˈmɔr,энимор,больше,wordnet,adv,наречие,2
anyone,anyone,ˈɛniˌwən,эниун,любой,wordnet,,,6
anything,anything,ˈɛniˌθɪŋ,энисин,что-либо,wordnet,,,13
anyway,anyway,ˈɛniˌweɪ,эниуэй,в любом случае,wordnet,adv,наречие,1
anywhere,anywhere,ˈɛniˌwɛr,эниуэр,где угодно,wordnet,adv,наречие,2
apache,apache,əˈpæʧi,эпэчи,апач,wordnet,noun,существительное,29
app,app,æp,эп,приложение,wordnet,,,2
appear,appear,əˈpɪr,эпир,появляться,wordnet,verb,глагол,8
appearance,appearance,əˈpɪrəns,эпирнс,появление,wordnet,noun,существительное,1
appears,appears,əˈpɪrz,эпирз,появляется,wordnet,verb,глагол,3
append,append,əˈpɛnd,эпэнд,добавить,wordnet,verb,глагол,8
appended,appended,əˈpɛndɪd,эпэндид,добавлено,wordnet,verb,глагол,3
appendix,appendix,əˈpɛndɪks,эпэндикс,приложение,wordnet,noun,существительное,71
appetite,appetite,ˈæpəˌtaɪt,эпэтайт,аппетит,wordnet,noun,существительное,2
apple,apple,ˈæpəl,эпл,яблоко,wordnet,noun,существительное,7
applicable,applicable,ˈæpləkəbəl,эплэкэбл,применимый,wordnet,adj,прилагательное,3
application,application,ˌæpləˈkeɪʃən,эплэкэйшн,приложение,wordnet,noun,существительное,45
applied,applied,əˈplaɪd,эплайд,применяемый,wordnet,verb,глагол,72
applies,applies,əˈplaɪz,эплайз,применяется,wordnet,verb,глагол,24
apply,apply,əˈplaɪ,эплай,применять,wordnet,verb,глагол,127
applying,applying,əˈplaɪɪŋ,эплайин,применение,wordnet,verb,глагол,30
appointed,appointed,əˈpɔɪntɪd,эпойнтид,назначен,wordnet,verb,глагол,1
appreciation,appreciation,əˌpriʃiˈeɪʃən,эпришиэйшн,признательность,wordnet,noun,существительное,1
approach,approach,əˈproʊʧ,эпроуч,подход,wordnet,noun,существительное,56
appropriate,appropriate,əˈproʊpriˌeɪt,эпроуприэйт,соответствующий,wordnet,verb,глагол,27
appropriately,appropriately,əˈproʊpriɪtli,эпроуприитли,соответственно,wordnet,adv,наречие,2
approximate,approximate,əˈprɑksəˌmeɪt,эпраксмэйт,приблизительный,wordnet,verb,глагол,5
approximately,approximately,əˈprɑksəmətli,эпраксмэтли,примерно,wordnet,adv,наречие,3
april,april,ˈeɪprəl,эйпрл,апрель,wordnet,noun,существительное,1
apt,apt,æpt,эпт,подходящий,wordnet,adj,прилагательное,3
aptly,aptly,ˈæptli,эптли,удачно,wordnet,adv,наречие,2
arbitrarily,arbitrarily,ˈɑrbɪˌtrɛrəli,арбитрэрли,произвольно,wordnet,adv,наречие,1
arbitrary,arbitrary,ˈɑrbɪˌtrɛri,арбитрэри,произвольный,wordnet,adj,прилагательное,9
arcane,arcane,ˌɑrˈkeɪn,аркэйн,тайный,wordnet,adj,прилагательное,2
architectural,architectural,ˌɑrkəˈtɛkʧərəl,аркэтэкчэрл,архитектурный,wordnet,adj,прилагательное,1
architecture,architecture,ˈɑrkəˌtɛkʧər,аркэтэкчэр,архитектура,wordnet,noun,существительное,1
archive,archive,ˈɑrˌkaɪv,аркайв,архив,wordnet,noun,существительное,3
archway,archway,ˈɑrʧˌweɪ,арчуэй,арка,wordnet,noun,существительное,1
area,area,ˈɛriə,эриэ,область,wordnet,noun,существительное,13
argue,argue,ˈɑrgju,аргйу,спорить,wordnet,verb,глагол,5
argument,argument,ˈɑrgjəmənt,аргймнт,аргумент,wordnet,noun,существительное,142
arises,arises,ərˈaɪzɪz,эрайзиз,возникает,wordnet,verb,глагол,1
arising,arising,ərˈaɪzɪŋ,эрайзин,возникающий,wordnet,verb,глагол,1
arithmetic,arithmetic,ˌɛrɪθˈmɛtɪk,эрисмэтик,арифметика,wordnet,noun,существительное,7
arm,arm,ɑrm,арм,рука,wordnet,noun,существительное,1
armed,armed,ɑrmd,армд,вооруженный,wordnet,verb,глагол,1
army,army,ˈɑrmi,арми,армия,wordnet,noun,существительное,1
around,around,əraʊnd,эраунд,вокруг,wordnet,adv,наречие,19
arrangement,arrangement,ərˈeɪnʤmənt,эрэйнджмнт,договоренность,wordnet,noun,существительное,1
array,array,əreɪ,эрэй,множество,wordnet,noun,существительное,277
arrow,arrow,ˈɛroʊ,эроу,стрелка,wordnet,noun,существительное,7
arsenal,arsenal,ˈɑrsənəl,арснл,арсенал,wordnet,noun,существительное,2
art,art,ɑrt,арт,искусство,wordnet,noun,существительное,7
arthur,arthur,ˈɑrθər,арсэр,Артур,wordnet,noun,существительное,2
article,article,ˈɑrtɪkəl,артикл,статья,wordnet,noun,существительное,5
artifact,artifact,ˈɑrtəˌfækt,артэфэкт,артефакт,wordnet,noun,существительное,3
artificial,artificial,ˌɑrtəˈfɪʃəl,артэфишл,искусственный,wordnet,adj,прилагательное,1
ascending,ascending,əˈsɛndɪŋ,эсэндин,восходящий,wordnet,noun,существительное,25
ascii,ascii,ˈæski,эски,ascii,wordnet,noun,существительное,2
aside,aside,əˈsaɪd,эсайд,в сторону,wordnet,noun,существительное,4
ask,ask,æsk,эск,просить,wordnet,verb,глагол,12
asked,asked,æst,эст,спросил,wordnet,verb,глагол,6
asking,asking,ˈæskɪŋ,эскин,спрашивать,wordnet,noun,существительное,5
asks,asks,æsks,эскс,спрашивает,wordnet,verb,глагол,1
aspect,aspect,ˈæˌspɛkt,эспэкт,аспект,wordnet,noun,существительное,15
assemble,assemble,əˈsɛmbəl,эсэмбл,собрать,wordnet,verb,глагол,16
assembled,assembled,əˈsɛmbəld,эсэмблд,собранный,wordnet,verb,глагол,9
assembler,assembler,əˈsɛmblər,эсэмблэр,ассемблер,wordnet,noun,существительное,48
assembles,assembles,əˈsɛmbəlz,эсэмблз,собирает,wordnet,verb,глагол,1
assembling,assembling,əˈsɛmbəlɪŋ,эсэмблин,сборка,wordnet,noun,существительное,9
assembly,assembly,əˈsɛmbli,эсэмбли,сборка,wordnet,noun,существительное,4
assert,assert,əˈsərt,эсэрт,утверждать,wordnet,verb,глагол,7
assertion,assertion,əˈsərʃən,эсэршн,утверждение,wordnet,noun,существительное,6
assess,assess,əˈsɛs,эсэс,оценивать,wordnet,verb,глагол,7
assessed,assessed,əˈsɛst,эсэст,оцененный,wordnet,verb,глагол,1
assessing,assessing,əˈsɛsɪŋ,эсэсин,оценка,wordnet,verb,глагол,11
assessment,assessment,əˈsɛsmənt,эсэсмнт,оценка,wordnet,noun,существительное,2
asset,asset,ˈæˌsɛt,эсэт,объект,wordnet,noun,существительное,1
assign,assign,əˈsaɪn,эсайн,назначать,wordnet,verb,глагол,23
assigned,assigned,əˈsaɪnd,эсайнд,назначенный,wordnet,verb,глагол,6
assigning,assigning,əˈsaɪnɪŋ,эсайнин,назначение,wordnet,noun,существительное,7
assignment,assignment,əˈsaɪnmənt,эсайнмнт,назначение,wordnet,noun,существительное,6
assigns,assigns,əˈsaɪnz,эсайнз,назначает,wordnet,verb,глагол,6
assist,assist,əˈsɪst,эсист,помогать,wordnet,noun,существительное,3
associated,associated,əˈsoʊʃiˌeɪtəd,эсоушиэйтэд,связанный,wordnet,verb,глагол,1
assume,assume,əˈsum,эсум,предполагать,wordnet,verb,глагол,21
assumed,assumed,əˈsumd,эсумд,предполагалось,wordnet,verb,глагол,2
assumes,assumes,əˈsumz,эсумз,предполагает,wordnet,verb,глагол,2
assuming,assuming,əˈsumɪŋ,эсумин,предполагая,wordnet,verb,глагол,11
assumption,assumption,əˈsəmpʃən,эсмпшн,предположение,wordnet,noun,существительное,2
asterisk,asterisk,ˈæstərɪsk,эстэриск,звездочка,wordnet,noun,существительное,4
atmospheric,atmospheric,ˌætməsˈfɛrɪk,этмэсфэрик,атмосферный,wordnet,adj,прилагательное,1
atop,atop,əˈtɑp,этап,на вершине,wordnet,adv,наречие,2
attach,attach,əˈtæʧ,этэч,прикреплять,wordnet,verb,глагол,1
attached,attached,əˈtæʧt,этэчт,прикрепил,wordnet,verb,глагол,5
attack,attack,əˈtæk,этэк,атаковать,wordnet,noun,существительное,2
attempt,attempt,əˈtɛmpt,этэмпт,пытаться,wordnet,noun,существительное,2
attempting,attempting,əˈtɛmptɪŋ,этэмптин,попытка,wordnet,verb,глагол,3
attention,attention,əˈtɛnʃən,этэншн,внимание,wordnet,noun,существительное,9
attractive,attractive,əˈtræktɪv,этрэктив,привлекательный,wordnet,adj,прилагательное,5
attributable,attributable,əˈtrɪbjətəbəl,этрибйэтэбл,относимый,wordnet,adj,прилагательное,1
attribute,attribute,əˈtrɪˌbjut,этрибйут,атрибут,wordnet,noun,существительное,63
attributed,attributed,əˈtrɪbjətəd,этрибйэтэд,приписываемый,wordnet,verb,глагол,2
audience,audience,ˈɔdiəns,одинс,аудитория,wordnet,noun,существительное,1
augment,augment,ɔgˈmɛnt,огмэнт,увеличить,wordnet,verb,глагол,1
augmented,augmented,ɑgˈmɛntəd,агмэнтэд,дополненный,wordnet,verb,глагол,1
aunt,aunt,ɔnt,онт,тетя,wordnet,noun,существительное,1
austen,austen,ˈɔstɪn,остин,Остин,wordnet,noun,существительное,14
authenticating,authenticating,ɔˈθɛntəˌkeɪtɪŋ,осэнтэкэйтин,аутентификация,wordnet,verb,глагол,1
authentication,authentication,ɔˌθɛntəˈkeɪʃən,осэнтэкэйшн,аутентификация,wordnet,noun,существительное,1
author,author,ˈɔθər,осэр,автор,wordnet,noun,существительное,11
auto,auto,ˈɔtoʊ,отоу,авто,wordnet,noun,существительное,6
automate,automate,ˈɔtəˌmeɪt,отмэйт,автоматизировать,wordnet,verb,глагол,1
automated,automated,ˈɔtəˌmeɪtɪd,отмэйтид,автоматизированный,wordnet,verb,глагол,2
automatic,automatic,ˌɔtəˈmætɪk,отэмэтик,автоматический,wordnet,noun,существительное,1
automatically,automatically,ˌɔtəˈmætɪkli,отэмэтикли,автоматически,wordnet,adv,наречие,7
automating,automating,ˈɔtəˌmeɪtɪŋ,отмэйтин,автоматизация,wordnet,verb,глагол,1
automation,automation,ɔtəˈmeɪʃən,отэмэйшн,автоматизация,wordnet,noun,существительное,2
auxiliary,auxiliary,ɑgˈzɪljəri,агзилйэри,вспомогательный,wordnet,noun,существительное,4
availability,availability,əˌveɪləˈbɪlɪti,эвэйлэбилити,доступность,wordnet,noun,существительное,3
available,available,əˈveɪləbəl,эвэйлэбл,доступный,wordnet,adj,прилагательное,118
average,average,ˈævərɪʤ,эвэридж,средний,wordnet,noun,существительное,34
averaged,averaged,ˈævrɪʤd,эвриджд,усредненный,wordnet,verb,глагол,1
avoid,avoid,əˈvɔɪd,эвойд,избегать,wordnet,verb,глагол,57
avoided,avoided,əˈvɔɪdɪd,эвойдид,избегал,wordnet,verb,глагол,3
avoiding,avoiding,əˈvɔɪdɪŋ,эвойдин,избегание,wordnet,verb,глагол,11
avoids,avoids,əˈvɔɪdz,эвойдз,избегает,wordnet,verb,глагол,4
awaiting,awaiting,əˈweɪtɪŋ,эуэйтин,ожидая,wordnet,verb,глагол,1
awaits,awaits,əˈweɪts,эуэйтс,ждет,wordnet,verb,глагол,3
